Yr-rec,Yr-died,SP,TAG,x,y,E,N,FAM,SPECIES,Status 2020,DBH 2020,PM'20,Flag 2020,OBSERVATIONS 2020,DBH 2014,PM'14,FLAG'14,OBS'14,DBH 2009,PM'09,OBS'09
2009,,10,320,12.7,22.5,87.7,122.5,MYRI,Otoba parvifolia,A,12,1.3,,,11.9,1.3,,,11.9,,
2009,2020,10,321,15.4,22,90.4,122,PICR,Picramnia sellowii,D,,,MD,,13.2,1.3,,,13.1,,
2009,,10,322,19.3,19,94.3,119,MYRI,Otoba parvifolia,A,29.1,1.3,,,28.7,1.3,,,27,,
2009,,10,323,22,22,97,122,MORA,Sorocea pileata,A,30.4,1.3,,,25.5,1.3,,,19.4,1.4,
2009,2020,10,324,24.1,24.3,99.1,124.3,MYRI,Otoba parvifolia,D,,,MQ,,38.4,1.3,,,38.2,,
2009,,10,325,24,18.6,99,118.6,URTI,Pourouma cuspidata,A,22,1.3,,Tallo pudriendose,21.7,1.3,,,20.4,,
2009,,10,326,24.9,14,99.9,114,MYRI,Otoba parvifolia,A,22.2,1.3,,,22,1.3,,,21.6,1.2,
2009,,10,327,20,13.8,95,113.8,ANNO,Rollinia pittieri,A,31.7,1.3,,,21.4,1.3,,,13.7,,
2009,2020,10,328,17,12.4,92,112.4,URTI,Pourouma minor,D,,,MP,,15,1.4,,,14.8,1.4,
2009,2014,10,329,14.5,10,90,110,RUBI,"Rubiac ""caducous stipule""",,,,,,,,MQP,,15.7,,
2009,,10,330,17.4,8.5,92.4,108.5,AREC,Iriartea deltoidea,A,NM,2.4,,,23.8,2.4,,,25,2.5,estimado
2009,,10,331,18.3,6,93.3,106,CLUS,Symphonia globulifera,A,42.6,1.3,,,39.5,1.3,,flowering ,35.8,,
2009,,10,332,15.3,3.6,90.3,103.6,CANN,Celtis schippii,A,14.9,1.3,,,13.5,1.3,,,12,,
2009,,10,333,13.2,2.1,88.2,102.1,LAUR,Nectandra pulverulenta,A,15.4,1.3,,,12.9,1.3,,,11,,
2009,2020,10,334,18,1.7,93,101.7,ELAE,Sloanea guianensis,D,,,MD,,17.6,1.3,,,17.5,,
2009,,10,335,20.8,6.4,95.8,106.4,MORA,Pseudolmedia laevis,A,23.2,1.3,,,21.4,1.3,,,18.9,,
2009,,10,336,22.9,4.4,97.9,104.4,AREC,Iriartea deltoidea,A,23.9,1.4,,,22.15,1.3,,,22,,
2009,,10,337,23.5,3.7,98.5,103.7,ICAC,Calatola venezuelana,A,13.4,1.3,,,12.8,1.3,,,12.2,,Quizas x=23.5
2009,,11,338,2.3,5.2,102.3,105.2,URTI,Cecropia cf membranacea,A,NM,2.6,,,34.6,2.6,,,22,2.3,estimado
2009,,11,339,2.2,7.2,102.2,107.2,MELI,Trichilia maynesiana,A,22.7,1.3,,,12.4,1.3,,,11.5,,
2009,,11,340,5.7,2,105.7,102,MYRI,Otoba parvifolia,A,24.1,1.3,,,19.7,1.3,,,15.6,,
2009,,11,341,5.8,1.2,105.8,101.2,FABA,Pterocarpus rohrii,A,21.4,1.3,,,21.5,1.3,,,21.7,,
2009,2014,11,342,0.2,7.2,100,107,SALI,Lunania parviflora,,,,,,,,MP,,14.7,,
2009,2014,11,343,0.6,5.9,101,106,MORA,Clarisia racemosa,,,,,,,,MP,,19.2,,Inclinado
2009,,11,344,8.5,5.6,108.5,105.6,LECY,Eschweilera coriacea,A,28.2,1.3,,,25.7,1.3,,,23.7,,
2009,2020,11,345,14.3,4,114.3,104,AREC,Iriartea deltoidea,D,,,MP,,19.2,2.1,,,19,2.2,
2009,2020,11,346,13.7,6,113.7,106,MELI,Trichilia solitudinis,D,,,MP,,28.1,1.4,,,25.9,1.4,
2009,,11,347,9.1,7.7,109.1,107.7,EUPH,Nealchornea yapurensis,A,23.3,1.3,,,21.2,1.3,,,20.2,,"fruiting, was collected in trap 8-8 on 7/17"
2009,,11,348,2,11.5,102,111.5,MORA,Sorocea pileata,A,48.8,1.5,,,43.9,1.5,,,41.2,1.5,
2009,,11,349,3.4,12.6,103.4,112.6,ANNO,Unonopsis floribunda,A,14.1,1.3,,,13.5,1.3,,,12.9,,
2009,,11,350,3.7,16,103.7,116,MYRI,Otoba parvifolia,A,35.5,1.3,,,35,1.3,,,34.1,,
